Section,Page Title,Page Slug,Docs URL,Page Source (.md),OpenAPI / Spec Filename,OpenAPI / Spec Repo Path,Spec Resolve Status,operationId,HTTP Method,API Path,OpenAPI Version,Spec Title,Hidden,Deprecated,Spec File mtime (UTC),Spec Git Last Commit (ISO)
split settlements,Get Child/Parent Split Transaction Info API,get_child_parent_split_transactions_info_api,https://docs.payu.in/reference/get_child_parent_split_transactions_info_api,reference/split settlements/get-transaction-information-apis/get_child_parent_split_transactions_info_api.md,get-aggregatorparent-transaction-info-4.json,reference/get-aggregatorparent-transaction-info-4.json,found,GetChildParentSplitTransactionInfo,POST,/postservice,3.1.0,Get Aggregator/Parent Transaction Info,FALSE,FALSE,2026-08-05T06:27:18.697499+00:00,2025-04-29T06:52:42+00:00
Subscriptions,Predebit Notification API,pre_debit_notification_api,https://docs.payu.in/reference/pre_debit_notification_api,reference/Subscriptions/pre_debit_notification_api.md,pre-debit-notification.json,reference/pre-debit-notification.json,found,predebit,POST,/postservice.php,3.1.0,Test_SI_Collection,FALSE,,2026-08-05T06:27:18.737512+00:00,2026-04-23T07:27:15+00:00
Subscriptions,Recurring Payment Transaction API,recurring_payment_api,https://docs.payu.in/reference/recurring_payment_api,reference/Subscriptions/recurring_payment_api.md,test_si_collection-6.json,reference/test_si_collection-6.json,found,RecurringPaymentAPI,POST,/postservice.php,3.1.0,Test_SI_Collection,FALSE,,2026-08-05T06:27:18.753517+00:00,2026-06-05T13:22:27+00:00
Subscriptions,subscriptions-pdn-rp,subscriptions-pdn-rp,https://docs.payu.in/reference/subscriptions-pdn-rp,reference/Subscriptions/subscriptions-pdn-rp.md,pdn-rp-api.yaml,reference/pdn-rp-api.yaml,found,post_merchant-postservice-php-form-2,POST,/merchant/postservice.php?form=2,3.0.0,Pre-debit and Recurring Payments Transaction API,FALSE,,2026-08-05T06:27:18.737512+00:00,2026-07-03T13:29:15+00:00
Subscriptions,Validate VPA or UPI Handle API,validate_vpa_api,https://docs.payu.in/reference/validate_vpa_api,reference/Subscriptions/api-commands-to-manage-upi-recurring-transaction/validate_vpa_api.md,paritalgeneral-apis-15.json,reference/paritalgeneral-apis-15.json,found,validateVPA,POST,/postservice.php,3.1.0,ParitalGeneral APIs,FALSE,FALSE,2026-08-05T06:27:18.713504+00:00,2026-05-20T12:36:59+00:00
Tokenization,Delete a Saved Card API,delete_saved_card_api,https://docs.payu.in/reference/delete_saved_card_api,reference/Tokenization/model-3-simple-rest-apis/delete_saved_card_api.md,storecard-2.json,reference/storecard-2.json,found,delete_payment_instrument,POST,/postservice.php,3.1.0,StoreCard,FALSE,FALSE,2026-08-05T06:27:18.753517+00:00,2025-11-06T05:26:41+00:00
Tokenization,Edit a Saved Card API,edit_saved_card_api,https://docs.payu.in/reference/edit_saved_card_api,reference/Tokenization/model-3-simple-rest-apis/edit_saved_card_api.md,storecard-6.json,reference/storecard-6.json,found,edit_payment_instrument,POST,/postservice.php,3.1.0,StoreCard,FALSE,FALSE,2026-08-05T06:27:18.753517+00:00,2025-11-06T05:25:08+00:00
Tokenization,Get Payment Details (Cryptogram),get_payment_details_cryptogram,https://docs.payu.in/reference/get_payment_details_cryptogram,reference/Tokenization/model-3-simple-rest-apis/get_payment_details_cryptogram.md,storecard-8.json,reference/storecard-8.json,found,get_payment_details,POST,/postservice.php,3.1.0,StoreCard,FALSE,FALSE,2026-08-05T06:27:18.753517+00:00,2025-11-10T06:34:40+00:00
Tokenization,Get User Cards API,get_user_cards_api,https://docs.payu.in/reference/get_user_cards_api,reference/Tokenization/model-2-zero-code-change-for-vault-integration/get_user_cards_api.md,storecard-7.json,reference/storecard-7.json,found,GetUserCards,POST,/postservice.php,3.1.0,StoreCard,FALSE,,2026-08-05T06:27:18.753517+00:00,2026-06-27T15:30:54+00:00
Tokenization,Get User Cards API - Model 3,get_user_cards_api_model3,https://docs.payu.in/reference/get_user_cards_api_model3,reference/Tokenization/model-3-simple-rest-apis/get_user_cards_api_model3.md,storecard-10.json,reference/storecard-10.json,found,GetUserCards,POST,/postservice.php,3.1.0,StoreCard,FALSE,,2026-08-05T06:27:18.753517+00:00,2026-06-28T09:04:05+00:00
Collect Payment, [OLD]Cards Direct Authorization Flow,old_payment_s2s_direct_authorization_flow,https://docs.payu.in/reference/old_payment_s2s_direct_authorization_flow,reference/Collect Payment/_payment_server_to_server/old_payment_s2s_direct_authorization_flow.md,payu-api-29.json,reference/payu-api-29.json,found,S2SDirectAuthorizationFlow,POST,/_payment,3.1.0,PayU API,TRUE,FALSE,2026-08-05T06:27:18.733511+00:00,2025-04-29T06:52:21+00:00
Collect Payment,[OLD]Cards Classic Integration,old_payment_s2s_classic_integration,https://docs.payu.in/reference/old_payment_s2s_classic_integration,reference/Collect Payment/_payment_server_to_server/old_payment_s2s_classic_integration.md,merchant-hosted-34.json,reference/merchant-hosted-34.json,found,S2S-ClassicIntegration,POST,/_payment,3.1.0,Merchant Hosted,TRUE,FALSE,2026-08-05T06:27:18.709503+00:00,2025-11-10T05:46:38+00:00
